date,region,product_category,units_sold,revenue,cost,profit,customer_satisfaction
2024-01-15,North,Electronics,145,28710.50,18250.00,10460.50,4.2
2024-01-15,South,Clothing,89,5340.00,3200.00,2140.00,3.8
2024-01-15,East,Electronics,112,22176.00,14500.00,7676.00,4.5
2024-01-15,West,Home & Garden,67,8710.00,5800.00,2910.00,3.9
2024-02-12,North,Clothing,134,8040.00,4800.00,3240.00,4.1
2024-02-12,South,Electronics,156,30888.00,19500.00,11388.00,4.3
2024-02-12,East,Home & Garden,78,10140.00,6700.00,3440.00,3.7
2024-02-12,West,Electronics,98,19404.00,12800.00,6604.00,4.0
2024-03-18,North,Home & Garden,91,11830.00,7900.00,3930.00,4.4
2024-03-18,South,Clothing,167,10020.00,6000.00,4020.00,3.6
2024-03-18,East,Electronics,189,37422.00,24000.00,13422.00,4.6
2024-03-18,West,Clothing,76,4560.00,2700.00,1860.00,3.5
2024-04-22,North,Electronics,201,39798.00,25500.00,14298.00,4.7
2024-04-22,South,Home & Garden,54,7020.00,4600.00,2420.00,3.8
2024-04-22,East,Clothing,143,8580.00,5100.00,3480.00,4.0
2024-04-22,West,Electronics,167,33066.00,21500.00,11566.00,4.2
2024-05-19,North,Clothing,178,10680.00,6400.00,4280.00,4.1
2024-05-19,South,Electronics,210,41580.00,26500.00,15080.00,4.5
2024-05-19,East,Home & Garden,95,12350.00,8200.00,4150.00,4.3
2024-05-19,West,Home & Garden,82,10660.00,7100.00,3560.00,3.9
2024-06-15,North,Electronics,223,44154.00,28000.00,16154.00,4.8
2024-06-15,South,Clothing,191,11460.00,6900.00,4560.00,3.7
2024-06-15,East,Electronics,198,39204.00,25000.00,14204.00,4.4
2024-06-15,West,Clothing,88,5280.00,3100.00,2180.00,3.6
2024-07-20,North,Home & Garden,104,13520.00,9000.00,4520.00,4.5
2024-07-20,South,Electronics,245,48510.00,31000.00,17510.00,4.6
2024-07-20,East,Clothing,156,9360.00,5600.00,3760.00,4.2
2024-07-20,West,Electronics,187,37026.00,24000.00,13026.00,4.3
2024-08-17,North,Electronics,256,50688.00,32500.00,18188.00,4.9
2024-08-17,South,Home & Garden,73,9490.00,6300.00,3190.00,3.8
2024-08-17,East,Electronics,215,42570.00,27000.00,15570.00,4.5
2024-08-17,West,Home & Garden,96,12480.00,8300.00,4180.00,4.0
2024-09-14,North,Clothing,189,11340.00,6800.00,4540.00,4.3
2024-09-14,South,Electronics,267,52866.00,33500.00,19366.00,4.7
2024-09-14,East,Home & Garden,108,14040.00,9400.00,4640.00,4.4
2024-09-14,West,Electronics,203,40194.00,26000.00,14194.00,4.1
2024-10-19,North,Electronics,278,55044.00,35000.00,20044.00,4.8
2024-10-19,South,Clothing,201,12060.00,7200.00,4860.00,3.9
2024-10-19,East,Electronics,234,46332.00,30000.00,16332.00,4.6
2024-10-19,West,Clothing,94,5640.00,3400.00,2240.00,3.7
2024-11-16,North,Home & Garden,118,15340.00,10200.00,5140.00,4.6
2024-11-16,South,Electronics,289,57222.00,36500.00,20722.00,4.8
2024-11-16,East,Clothing,168,10080.00,6000.00,4080.00,4.1
2024-11-16,West,Electronics,221,43758.00,28500.00,15258.00,4.4
2024-12-21,North,Electronics,312,61776.00,39500.00,22276.00,4.9
2024-12-21,South,Home & Garden,87,11310.00,7500.00,3810.00,4.0
2024-12-21,East,Electronics,256,50688.00,32000.00,18688.00,4.7
2024-12-21,West,Home & Garden,109,14170.00,9500.00,4670.00,4.2
